,L,R,F,M,C
5206,2070,13,28,42653,0.7804489720000001
5207,2123,50,23,42923,0.775380099
5208,2879,6,45,41684,0.79829359
5209,770,9,66,45439,0.732258192
5210,2084,6,27,43938,0.7572499890000001
5211,2704,71,43,48274,0.689232713
5212,1802,5,29,48502,0.6859640840000001
5213,2475,44,25,41047,0.810099155
5214,1108,1,43,44389,0.7490175490000001
5215,1553,42,30,42470,0.782822463
5216,1656,66,34,46114,0.720924448
5217,1943,266,23,34240,0.970922313
5218,779,44,33,48472,0.68573919
5219,2961,1,35,49963,0.66509457
5220,2294,1,26,48767,0.68132159
5221,1487,6,38,39658,0.8376932779999999
5222,2395,6,22,23961,1.386270189
5223,3045,37,33,42899,0.774191706
5224,2918,2,40,48355,0.6867049940000001
5225,592,8,36,48909,0.678766485
5226,2013,44,32,56914,0.583288646
5227,853,29,23,40324,0.8231909040000001
5228,2485,11,25,38563,0.86073905
5229,2019,25,42,55063,0.6027497589999999
5230,3360,98,11,57685,0.5753343160000001
5231,833,19,20,49035,0.6767635359999999
5232,993,74,34,45136,0.7351874340000001
5233,2075,74,32,54092,0.6134042
5234,1552,12,37,42086,0.788230766
5235,3291,61,34,43374,0.764543275
5236,2615,27,30,55672,0.595644669
5237,987,15,36,46459,0.7135762720000001
5238,2792,12,22,26590,1.246616021
5239,973,4,29,43392,0.7638891959999999
5240,946,84,26,54158,0.611959267
5241,1564,81,27,35603,0.9308159420000001
5242,2276,79,24,44158,0.750432085
5243,2138,10,59,45400,0.729850661
5244,2921,14,29,40488,0.8183775440000001
5245,2110,4,15,44661,0.741807841
5246,2897,9,30,48199,0.6873460029999999
5247,881,85,23,48283,0.686099248
5248,1491,4,41,50249,0.659233617
5249,1172,33,45,46298,0.715420105
5250,1228,2,43,57333,0.577504055
5251,1354,86,41,38081,0.869450119
5252,1242,14,36,41582,0.796126208
5253,2992,1,41,43679,0.7578602990000001
5254,1675,28,30,42827,0.7729072779999999
5255,3258,14,33,51114,0.647495402
5256,463,4,38,41083,0.8055205320000001
5257,619,7,45,53726,0.615932137
5258,2672,77,33,52732,0.627475726
5259,1809,28,50,47865,0.6912554059999999
5260,1673,4,37,46244,0.715428596
5261,1959,84,39,46511,0.711307218
5262,1520,5,29,39544,0.836607071
5263,1953,19,31,39900,0.829045363
5264,1037,62,41,35754,0.925059014
5265,919,1,45,44213,0.748065275
5266,1075,34,29,44301,0.746542967
5267,1459,3,32,47868,0.6909081220000001
5268,1561,108,18,37804,0.8747931440000001
5269,1093,36,42,38603,0.85659042
5270,623,85,21,41715,0.792678653
5271,1422,87,25,45060,0.733775854
5272,2707,3,28,45343,0.729076594
5273,1415,170,22,40164,0.823085848
5274,746,34,26,42992,0.7688593229999999
5275,811,22,42,58675,0.5632363020000001
5276,2754,8,58,52494,0.629205243
5277,934,484,35,41713,0.791646489
5278,523,3,40,39559,0.834650522
5279,2234,2,34,53543,0.6166234620000001
5280,523,11,8,46237,0.7140450290000001
5281,754,72,27,56732,0.581940704
5282,1029,13,23,50978,0.647563655
5283,1277,62,29,44546,0.7409655190000001
5284,2877,8,43,46540,0.7090728409999999
5285,2210,91,18,28491,1.158168193
5286,1035,14,26,46846,0.7043282240000001
5287,2684,113,15,51394,0.641978441
5288,1051,220,21,49763,0.662978518
5289,896,5,33,50784,0.6495171710000001
5290,2103,11,55,44254,0.7453253940000001
5291,2909,9,31,49591,0.665016233
5292,2460,44,35,42503,0.775846411
5293,836,3,22,45463,0.725327849
5294,629,30,36,44743,0.736979863
5295,1396,20,36,43927,0.750593485
5296,1876,41,25,39752,0.829264943
5297,1207,1,25,49502,0.665907438
5298,758,3,53,42788,0.770296345
5299,1207,9,24,56628,0.582003073
5300,2116,9,36,44590,0.7390423859999999
5301,1432,340,28,39964,0.82449955
5302,859,9,46,47947,0.6871005490000001
5303,2693,22,32,48455,0.67989289
5304,505,69,20,40955,0.80435771
5305,1565,76,28,44360,0.742509243
5306,2323,144,37,36248,0.9085704040000001
5307,2129,64,25,46096,0.714418605
5308,1035,3,21,53665,0.613575887
5309,678,128,20,46440,0.7090000000000001
5310,735,111,16,51767,0.635928874
5311,2227,31,42,50503,0.651742273
5312,1132,12,23,40593,0.8107752570000001
5313,449,94,29,52070,0.632026887
5314,772,20,36,52449,0.627436367
5315,1547,47,28,49320,0.6671417270000001
5316,920,7,39,46140,0.7129967490000001
5317,636,98,23,48316,0.68084858
5318,782,65,25,45598,0.721385587
5319,1257,8,27,46454,0.708056357
5320,1666,21,30,47616,0.6907636090000001
5321,3338,2,47,59685,0.55104951
5322,2481,11,28,45067,0.7297816579999999
5323,929,10,25,48410,0.67937389
5324,3100,143,53,49412,0.665579414
5325,1625,1,24,39447,0.8335863309999999
5326,2924,17,32,44888,0.732525619
5327,2455,12,16,42288,0.7775
5328,1172,24,22,54519,0.602885783
5329,441,4,40,46794,0.702358422
5330,791,44,25,42927,0.765609057
5331,684,109,12,32298,1.0174428759999998
5332,1653,8,36,48708,0.6746370209999999
5333,423,5,29,48803,0.673257587
5334,2719,74,42,50944,0.644935616
5335,1743,50,14,42380,0.775225814
5336,758,17,36,40269,0.8158645609999999
5337,2705,290,7,32924,0.997831977
5338,2955,1,42,50620,0.648993086
5339,3115,25,37,47828,0.686833027
5340,2145,2,41,47413,0.692821589
5341,1564,36,23,26516,1.2387509429999999
5342,3035,2,30,36892,0.890129838
5343,1719,139,26,47423,0.6923735320000001
5344,2732,6,20,28114,1.1676008390000001
5345,1901,8,35,47201,0.695379335
5346,1581,125,29,37543,0.873972778
5347,1294,68,16,40658,0.806874662
5348,808,73,31,42267,0.7761577590000001
5349,2636,14,34,50069,0.6551974279999999
5350,2615,8,35,45712,0.717529533
5351,900,34,29,42653,0.7687996159999999
5352,2508,5,38,42162,0.777724491
5353,1611,17,35,53813,0.609165815
5354,3286,25,32,50083,0.654449015
5355,937,16,44,47076,0.6962288640000001
5356,544,6,28,42339,0.7740546540000001
5357,2356,2,32,45077,0.727037735
5358,2206,11,44,49294,0.664775226
5359,1519,22,25,43429,0.754507357
5360,2957,32,20,22525,1.4546024419999999
5361,1849,35,17,38559,0.84971991
5362,3010,187,7,42666,0.7679116859999999
5363,1271,27,29,43419,0.754390935
5364,2457,22,31,46913,0.698169591
5365,699,65,36,44439,0.737032111
5366,951,20,15,27992,1.170053587
5367,1260,39,40,42790,0.7651488670000001
5368,1227,24,27,44360,0.738059513
5369,1855,56,10,53508,0.611872243
5370,604,38,28,38237,0.85616314
5371,2721,16,41,59739,0.547957448
5372,2610,15,39,50602,0.646860796
5373,1754,20,33,52441,0.624166778
5374,2155,13,43,37447,0.8740091329999999
5375,1166,83,25,43125,0.7589266090000001
5376,1299,15,39,47547,0.688329022
5377,1950,60,24,24896,1.314569007
5378,2985,16,35,42247,0.774461855
5379,1266,16,45,46011,0.711032797
5380,1244,6,38,51650,0.633368054
5381,2827,1,40,43418,0.7533711820000001
5382,3040,8,30,40448,0.808637015
5383,1863,3,37,49019,0.667133764
5384,2808,19,26,44026,0.742552355
5385,970,40,15,48398,0.6753878259999999
5386,1334,10,23,45425,0.7195068790000001
5387,816,17,41,48926,0.668020276
5388,690,19,35,36540,0.89439272
5389,3133,10,28,46065,0.7093565609999999
5390,1725,40,42,47047,0.6944725490000001
5391,582,1,25,37604,0.868594564
5392,3251,12,41,49208,0.663745732
5393,1268,3,31,61702,0.5293384329999999
5394,563,9,38,51158,0.638435044
5395,666,32,37,45510,0.71766359
5396,1512,24,33,37477,0.87133175
5397,3236,14,63,53380,0.611694642
5398,2090,9,28,49007,0.666255433
5399,2904,40,24,42624,0.765913101
5400,1232,7,36,44761,0.7292962620000001
5401,681,27,31,47834,0.682286031
5402,2997,9,26,47098,0.692907767
5403,3258,7,22,48003,0.679763765
5404,3357,49,21,47838,0.682027677
5405,1216,63,31,44630,0.731039883
5406,2088,69,14,23205,1.40599526
5407,2729,20,32,39953,0.816550447
5408,755,5,52,38396,0.8496163659999999
5409,1004,1,28,41443,0.787149338
5410,1830,71,29,41014,0.7951826209999999
5411,389,206,6,51157,0.637490471
5412,1241,17,24,22266,1.464650588
5413,3093,3,17,46094,0.707493383
5414,3280,97,32,49733,0.655642732
5415,1447,6,45,57037,0.57167067
5416,2066,1,51,39715,0.820757145
5417,952,24,38,44049,0.7399069220000001
5418,2118,3,25,42992,0.7580770840000001
5419,650,25,20,45373,0.718246755
5420,1581,18,29,46892,0.6949334640000001
5421,2866,86,43,42042,0.7749976209999999
5422,481,1,37,45412,0.717456179
5423,1944,3,38,50785,0.64145988
5424,1405,4,13,23714,1.373715105
5425,2029,50,19,46627,0.698643061
5426,732,49,18,43940,0.741365498
5427,819,109,30,42013,0.775194583
5428,1482,34,34,43241,0.753136375
5429,1193,100,8,51196,0.636092663
5430,1326,32,28,52263,0.623059909
5431,2485,3,35,44974,0.72398697
5432,1368,40,30,42169,0.7721134009999999
5433,2603,4,38,54323,0.599261455
5434,444,48,14,45414,0.716803629
5435,2095,56,31,42719,0.7619235
5436,2097,30,48,43473,0.7486681390000001
5437,682,151,32,44771,0.726900002
5438,2927,3,44,43155,0.7540989459999999
5439,1318,12,44,42399,0.7675001770000001
5440,1151,7,48,44632,0.72885665
5441,2463,96,29,41171,0.789908431
5442,2450,331,24,44337,0.733474299
5443,679,12,46,34782,0.934967799
5444,535,1,33,46022,0.706545565
5445,2647,39,23,60122,0.54072303
5446,3060,63,34,39892,0.814868395
5447,1412,14,51,42513,0.764614118
5448,3095,128,14,26120,1.2444628640000002
5449,3017,4,39,41337,0.7862798459999999
5450,2132,12,15,22633,1.43606327
5451,2001,4,43,41953,0.7746175479999999
5452,1054,45,31,44030,0.7380624570000001
5453,3419,6,33,43975,0.7388234220000001
5454,2004,93,39,52594,0.617719702
5455,2385,128,5,50318,0.645635359
5456,1958,81,31,43896,0.740019592
5457,2839,487,24,33390,0.97285265
5458,1126,67,56,53003,0.612828519
5459,3160,44,30,53071,0.6120333139999999
5460,712,98,8,59267,0.547993825
5461,1363,159,20,25864,1.255411383
5462,3303,199,19,35675,0.910121374
5463,3383,24,23,62260,0.521439126
5464,718,56,37,38682,0.839235562
5465,458,69,28,50909,0.637589228
5466,2300,39,22,37770,0.859346836
5467,1941,7,37,46932,0.691566522
5468,591,25,36,39464,0.8224298090000001
5469,3280,14,48,45470,0.713778535
5470,1881,4,30,41350,0.784857074
5471,1649,3,51,40492,0.801420281
5472,903,57,40,41306,0.7856224279999999
5473,458,9,7,34683,0.93558804
5474,1048,3,40,39890,0.8131529209999999
5475,802,10,31,47820,0.67826056
5476,2414,45,39,34330,0.9445668509999999
5477,3183,120,21,22171,1.462276397
5478,2309,15,36,46462,0.697773234
5479,2334,72,4,48928,0.6625
5480,2210,8,38,38823,0.83486696
5481,3150,7,47,44569,0.72704907
5482,2098,116,32,48709,0.665243589
5483,666,41,9,44132,0.7341883440000001
5484,1659,30,26,35660,0.908536175
5485,3225,44,35,40062,0.8086917779999999
5486,428,7,14,42557,0.761211082
5487,416,28,38,49449,0.655046816
5488,2368,9,48,47848,0.676954105
5489,3224,156,48,34720,0.9328801840000001
5490,2046,26,43,42515,0.761825003
5491,2534,9,39,53487,0.6054390789999999
5492,2860,70,30,52446,0.617438508
5493,1891,196,24,41183,0.786239225
5494,1565,4,38,46453,0.6969528340000001
5495,3202,24,44,35186,0.920078724
5496,737,13,31,46423,0.697010749
5497,3340,2,50,40239,0.804020975
5498,2270,38,36,44045,0.734436599
5499,2510,38,44,61906,0.522477789
5500,946,40,22,40783,0.792926955
5501,963,69,39,50101,0.6453871179999999
5502,2845,5,33,38835,0.832599717
5503,2220,367,16,46686,0.692542946
5504,1004,2,40,39025,0.828076618
5505,2298,12,33,52407,0.616571069
5506,620,21,23,47568,0.679265683
5507,1708,7,36,46902,0.6888652940000001
5508,958,124,45,38248,0.8447040370000001
5509,1972,71,20,40809,0.7916780609999999
5510,1175,3,35,40156,0.804468075
5511,1939,10,16,44604,0.7242260779999999
5512,1832,1,33,41594,0.776507189
5513,601,170,23,40961,0.78849076
5514,2174,13,38,48038,0.672280278
5515,1379,19,40,41215,0.7835649640000001
5516,3334,11,29,41065,0.786405942
5517,3355,6,27,37659,0.857372474
5518,2133,14,69,38160,0.846004193
5519,2917,1,31,53457,0.603727108
5520,3048,12,57,52521,0.614431561
5521,745,119,25,41698,0.7738450290000001
5522,643,10,35,37657,0.8565443340000001
5523,1676,11,20,38478,0.8382143040000001
5524,2849,77,35,43057,0.748983673
5525,2957,45,34,41484,0.777334635
5526,743,6,34,44297,0.727959004
5527,639,28,37,48813,0.66057075
5528,2879,67,37,45108,0.7148049129999999
5529,1554,178,24,38272,0.842168687
5530,2003,41,18,24254,1.328714851
5531,1129,29,34,40573,0.794188253
5532,870,19,36,43449,0.7414805859999999
5533,2791,2,53,41313,0.77978554
5534,1703,15,41,43481,0.740776891
5535,3267,97,19,41698,0.772450237
5536,2293,13,15,40163,0.8018855659999999
5537,2721,69,21,39941,0.806290278
5538,2860,29,29,47172,0.68262359
5539,618,301,19,33820,0.952105263
5540,607,109,25,36022,0.8938909559999999
5541,1482,10,37,45862,0.7020842959999999
5542,870,25,30,41795,0.770191889
5543,2129,168,38,33663,0.9560873959999999
5544,2195,116,19,40404,0.796429066
5545,3206,72,24,48800,0.65938668
5546,1595,77,19,46136,0.697184845
5547,1075,25,30,43654,0.7367283640000001
5548,1243,23,29,46749,0.687943058
5549,632,2,32,42182,0.7623097529999999
5550,2879,4,50,40224,0.799386685
5551,2611,129,46,51360,0.626057048
5552,1041,31,25,41088,0.782520201
5553,922,16,37,49092,0.654901817
5554,2108,21,33,37196,0.864274384
5555,618,48,20,28309,1.135550885
5556,1206,2,32,42415,0.757898857
5557,1651,76,41,48398,0.6642045129999999
5558,1965,34,35,38285,0.8396123809999999
5559,1267,81,42,42327,0.759395658
5560,2663,7,27,47127,0.682023044
5561,1952,134,30,44064,0.7293906590000001
5562,2485,31,23,31333,1.025576868
5563,1607,15,56,45032,0.7134808579999999
5564,705,4,31,55184,0.582101877
5565,520,73,31,39046,0.8225672279999999
5566,3111,75,26,44396,0.723236102
5567,2849,27,36,43556,0.7371790340000001
5568,3072,43,25,33882,0.9476477190000001
5569,2730,51,27,47704,0.672991363
5570,2702,89,27,39347,0.815921925
5571,629,24,51,35564,0.902662524
5572,2182,62,40,41554,0.7725051740000001
5573,2124,27,24,41176,0.779551195
5574,1185,50,25,63376,0.5063593470000001
5575,1952,3,35,41955,0.7648528179999999
5576,1237,95,37,38513,0.833142575
5577,2387,8,20,47486,0.6756987320000001
5578,976,15,36,44812,0.715999732
5579,3086,105,37,36068,0.8892677720000001
5580,1089,3,35,45300,0.7079
5581,1677,22,42,37312,0.8594227059999999
5582,2920,51,27,49094,0.652974091
5583,1663,17,44,47593,0.673310361
5584,859,94,17,35944,0.8915106829999999
5585,1177,63,31,49948,0.6415454070000001
5586,2331,3,26,41041,0.780647645
5587,1651,16,23,33128,0.967052644
5588,1286,37,35,56773,0.5641833270000001
5589,1680,59,31,41882,0.764735686
5590,2652,10,27,45352,0.70608176
5591,3119,2,39,46869,0.682989183
5592,1056,81,23,50520,0.633602336
5593,3266,118,21,33914,0.9436259359999999
5594,2641,7,44,42332,0.755671832
5595,2213,43,20,45517,0.7027745679999999
5596,1049,106,23,50542,0.632852083
5597,2186,23,52,46917,0.6817247479999999
5598,619,1,55,45361,0.7050084870000001
5599,3258,6,40,41650,0.767738295
5600,814,78,32,47555,0.6723785090000001
5601,499,6,48,38470,0.831157265
5602,2497,21,32,41599,0.7685105409999999
5603,2847,20,32,54533,0.5862340229999999
5604,1977,31,28,48378,0.660806772
5605,3130,42,20,39125,0.816846518
5606,3320,4,45,39257,0.814022722
5607,867,6,32,42527,0.75142145
5608,3107,21,31,43613,0.732689336
5609,1090,75,23,41067,0.777922419
5610,2278,56,25,40876,0.7812625990000001
5611,3172,2,38,55197,0.578400819
5612,2154,116,4,48928,0.6525
5613,2542,32,41,41016,0.778320899
5614,2270,44,27,46213,0.690744163
5615,2063,22,34,38882,0.8208777840000001
5616,1864,33,19,42727,0.746923491
5617,2323,4,49,44326,0.719978342
5618,1000,19,40,36666,0.870288005
5619,1181,82,32,38552,0.827467057
5620,820,25,35,46291,0.689113003
5621,1338,86,27,46882,0.680367092
5622,861,3,26,60402,0.528055694
5623,791,9,28,47987,0.664648551
5624,2956,22,36,46499,0.685741629
5625,803,35,21,42573,0.7488243720000001
5626,1649,4,52,41450,0.7688627259999999
5627,3415,67,40,45111,0.706448538
5628,2564,45,35,53705,0.593346616
5629,1365,2,22,56873,0.560199216
5630,3163,138,30,51915,0.613697197
5631,2322,30,32,45976,0.692912607
5632,2732,15,29,46347,0.6872999329999999
5633,1713,1,6,45504,0.7
5634,2762,9,38,48047,0.662802256
5635,740,5,33,47722,0.667272327
5636,2518,4,25,37337,0.852656614
5637,1881,6,42,47074,0.676278625
5638,456,152,12,36999,0.8603954159999999
5639,1201,103,26,36756,0.866035749
5640,3008,9,24,40831,0.779577527
5641,2042,65,19,48291,0.6589797270000001
5642,3125,6,14,49483,0.642978599
5643,1059,23,32,54738,0.581139611
5644,2379,129,25,52732,0.603127892
5645,624,410,6,40168,0.791774547
5646,2120,12,33,45945,0.6921264559999999
5647,1601,38,40,51954,0.612010432
5648,727,25,20,39313,0.808599445
5649,870,39,33,50862,0.6249319729999999
5650,1113,143,27,46569,0.68247697
5651,734,91,29,44830,0.708937096
5652,1439,11,37,36135,0.8791545590000001
5653,1505,59,23,36417,0.872249773
5654,1464,65,33,52910,0.600239841
5655,2140,3,37,46000,0.690327391
5656,1519,53,15,22503,1.411145625
5657,2904,20,25,49938,0.635851656
5658,2017,44,17,33570,0.945781352
5659,993,219,16,39568,0.80234078
5660,1161,18,41,39175,0.810358392
5661,2693,5,29,38248,0.829479188
5662,2180,21,37,45628,0.6952680370000001
5663,1230,5,21,26350,1.2038607209999999
5664,456,6,11,22144,1.432467486
5665,2532,4,40,41301,0.767961551
5666,2337,7,38,46963,0.6753354770000001
5667,772,115,30,44949,0.7055912259999999
5668,2096,3,45,37993,0.83476851
5669,738,12,24,43127,0.7352507709999999
5670,774,118,26,37462,0.8464099620000001
5671,1249,94,24,41007,0.7732367640000001
5672,955,73,28,45672,0.6940598179999999
5673,881,4,26,42481,0.746172171
5674,3152,4,26,34879,0.9087473840000001
5675,870,1,28,44297,0.7153981079999999
5676,914,4,43,43781,0.723766702
5677,2067,79,4,48928,0.6475
5678,2892,18,25,39329,0.8054275470000001
5679,1971,78,24,53471,0.5923990570000001
5680,1738,2,21,66514,0.476146977
5681,944,12,25,38007,0.833218355
5682,799,83,32,43254,0.7320051320000001
5683,2863,69,32,42342,0.7476019079999999
5684,1923,2,33,33891,0.93401257
5685,693,15,25,36150,0.8756
5686,1283,3,31,45603,0.694038989
5687,1687,104,31,41466,0.763271355
5688,818,5,22,45370,0.697556976
5689,1246,39,20,36743,0.861326783
5690,1179,12,26,47154,0.671099801
5691,3025,1,34,45153,0.7008274090000001
5692,2232,24,35,39358,0.803898572
5693,745,38,11,38885,0.8136363640000001
5694,813,22,14,34476,0.91714468
5695,997,4,35,47975,0.659038041
5696,1661,34,23,38033,0.8312678459999999
5697,418,34,29,30228,1.0458445809999999
5698,2679,2,29,51436,0.614389727
5699,1043,18,40,42400,0.7452825470000001
5700,832,25,28,48374,0.653193451
5701,3371,4,28,38509,0.820513906
5702,3193,48,47,38305,0.824805117
5703,376,4,38,46569,0.678333011
5704,388,9,30,39337,0.8029804
5705,1095,6,40,41672,0.7579521020000001
5706,2821,116,23,41744,0.756530998
5707,1125,4,35,43753,0.7217900490000001
5708,2693,449,23,47385,0.666209771
5709,1860,27,31,40458,0.780205893
5710,1064,42,33,34220,0.92242519
5711,1024,11,48,35064,0.90007358
5712,1466,31,37,39301,0.802770159
5713,611,20,37,34136,0.9238639559999999
5714,2424,14,12,37344,0.844499518
5715,2044,2,29,52915,0.595971275
5716,1745,11,35,50476,0.624737499
5717,963,3,49,52169,0.604385938
5718,2044,3,21,42155,0.747891353
5719,2499,18,32,41570,0.758312726
5720,2420,44,39,35841,0.879462627
5721,1307,17,24,38066,0.8280478640000001
5722,2313,147,28,44134,0.714197218
5723,1222,7,27,23980,1.31437573
5724,2495,37,24,36059,0.874081089
5725,2411,18,25,39449,0.798808588
5726,465,81,20,26829,1.174435499
5727,2707,5,40,38424,0.8200067670000001
5728,1983,21,35,36979,0.8519970790000001
5729,2167,2,35,39534,0.796878889
5730,2139,88,20,34621,0.909914214
5731,3000,4,37,40405,0.779638906
5732,3411,79,29,43124,0.730467953
5733,1142,5,33,47790,0.659148148
5734,2552,172,37,47800,0.65891318
5735,498,33,25,45767,0.6880048940000001
5736,2040,265,16,43723,0.7200841659999999
5737,2715,103,24,43544,0.723037617
5738,2526,69,26,40961,0.7685015009999999
5739,645,12,34,36523,0.861698656
5740,622,23,41,34121,0.922331995
5741,874,13,22,41417,0.7598107059999999
5742,588,22,36,61501,0.511601112
5743,2187,154,12,38760,0.811666667
5744,2583,17,17,47538,0.661772056
5745,764,10,35,43512,0.722998024
5746,2755,90,23,45623,0.689464305
5747,1474,18,14,45691,0.688437986
5748,2925,63,25,35001,0.8986280390000001
5749,2229,12,32,49171,0.639658335
5750,2330,35,31,46763,0.67254603
5751,1726,23,28,35304,0.890621459
5752,2893,110,19,35879,0.876347167
5753,826,12,33,46297,0.679109662
5754,820,4,36,41912,0.749963018
5755,1835,9,39,40234,0.781238008
5756,2376,61,25,47987,0.654979474
5757,1391,75,17,42671,0.736435284
5758,3380,63,33,48560,0.647085255
5759,1962,57,37,45974,0.683371253
5760,2867,140,11,44374,0.707995898
5761,495,61,26,34594,0.908073365
5762,2820,110,27,46073,0.681802791
5763,2357,3,29,43578,0.720812337
5764,3280,36,32,48993,0.641131386
5765,688,567,5,40582,0.773939185
5766,620,3,33,46472,0.6758002670000001
5767,2706,2,27,28505,1.101626031
5768,2249,24,42,39577,0.793383278
5769,546,18,30,33868,0.927065371
5770,3074,1,53,39778,0.789300618
5771,2526,2,22,38333,0.81904834
5772,1812,43,32,42924,0.731439055
5773,1224,14,27,37826,0.829918046
5774,1111,143,31,38753,0.810013676
5775,1323,12,29,43984,0.7136581479999999
5776,2461,75,11,22940,1.368294246
5777,1457,5,17,46608,0.67333977
5778,629,7,45,49458,0.6344577220000001
5779,2908,30,31,48479,0.647165371
5780,2923,2,16,51401,0.610324702
5781,384,99,32,46133,0.679642772
5782,734,49,24,50507,0.62067555
5783,2129,118,34,40102,0.781663508
5784,1295,4,34,40853,0.767202898
5785,701,4,24,47013,0.666624763
5786,882,6,23,46729,0.670608402
5787,615,20,21,35042,0.894118486
5788,475,142,6,51500,0.608257864
5789,1703,28,21,53353,0.587100257
5790,2010,100,22,37385,0.837780126
5791,754,260,3,30408,1.03
5792,3412,6,17,23552,1.329642493
5793,2297,133,4,48928,0.64
5794,835,52,24,44232,0.7078676070000001
5795,2923,109,21,42302,0.740043497
5796,2291,27,37,43986,0.711618242
5797,670,36,16,69784,0.448503095
5798,2195,7,18,30515,1.025417008
5799,1497,7,24,44884,0.6971285979999999
5800,2847,30,16,44309,0.706157665
5801,1540,13,32,49200,0.635939634
5802,568,125,10,23869,1.310525368
5803,1387,5,25,33369,0.937412868
5804,3081,94,26,38538,0.811512793
5805,1655,2,46,49036,0.637764703
5806,722,660,11,22216,1.407692654
5807,1377,164,39,41966,0.745137492
5808,2206,9,13,26682,1.171856682
5809,2177,102,26,36890,0.8473851990000001
5810,2991,5,37,39031,0.800881863
5811,749,120,13,44826,0.6972732340000001
5812,1997,4,22,39401,0.793152712
5813,1441,186,16,46947,0.66565297
5814,2270,1,35,48939,0.6385345020000001
5815,985,127,30,67507,0.462853037
5816,714,19,58,48782,0.640467795
5817,558,66,20,33364,0.936376933
5818,2064,114,19,35000,0.892462286
5819,2307,86,35,37291,0.8376315999999999
5820,1366,10,54,50440,0.619269627
5821,2343,32,28,42080,0.7422718629999999
5822,1566,11,20,32265,0.96800155
5823,775,11,44,45164,0.6915087240000001
5824,598,160,5,42248,0.739199015
5825,2534,15,44,39146,0.79776299
5826,2204,10,30,50571,0.617522295
5827,2399,56,19,43104,0.7244933179999999
5828,820,13,41,39536,0.7898525390000001
5829,2762,15,37,54081,0.5773928
5830,3147,6,36,43679,0.71482337
5831,904,127,34,43358,0.720042207
5832,597,22,28,22351,1.396747797
5833,3050,69,29,42474,0.734937373
5834,2059,11,28,43298,0.7208383759999999
5835,2021,89,20,40350,0.773236183
5836,1390,6,34,50845,0.613419805
5837,2609,16,39,49985,0.6238719620000001
5838,2830,13,25,41115,0.757965463
5839,1605,23,36,42049,0.7409743390000001
5840,1247,97,29,30522,1.020746675
5841,2909,13,40,43007,0.724249308
5842,2920,4,30,45972,0.677470852
5843,2611,123,33,40776,0.7637975770000001
5844,1570,18,33,43946,0.708699768
5845,1271,14,42,42834,0.7270735859999999
5846,876,185,20,44333,0.702416935
5847,962,1,28,39931,0.779819939
5848,2156,275,13,39839,0.7816109840000001
5849,3149,8,27,27894,1.116276619
5850,766,12,39,42973,0.724549601
5851,1007,41,23,42745,0.728376886
5852,2667,26,27,42955,0.7246257709999999
5853,840,38,32,45033,0.691058113
5854,769,60,24,40023,0.77751368
5855,978,57,24,37811,0.822932215
5856,703,2,41,47908,0.6493487520000001
5857,1949,104,16,25364,1.226200126
5858,2427,79,25,32864,0.946285906
5859,528,2,30,43016,0.722934025
5860,2320,7,43,48384,0.642549603
5861,2869,6,33,43303,0.717932476
5862,1523,37,16,37707,0.824382741
5863,2084,1,23,37828,0.821648514
5864,2188,21,19,36073,0.8615507440000001
5865,928,285,25,45564,0.681988192
5866,1497,137,4,48928,0.635
5867,3353,1,19,21363,1.4542100830000002
5868,2277,2,19,49413,0.628600166
5869,1922,11,49,55243,0.562257662
5870,1443,99,28,42786,0.72573669
5871,995,6,22,27740,1.119321918
5872,1646,3,11,43637,0.7115179779999999
5873,421,192,9,54653,0.567975226
5874,2168,12,33,28581,1.0856551559999998
5875,893,16,16,42288,0.73375
5876,2266,118,19,38712,0.8012660159999999
5877,607,1,70,38457,0.8064334190000001
5878,2911,6,24,51159,0.6061203310000001
5879,990,9,26,36885,0.8406238309999999
5880,1815,5,33,52972,0.585137431
5881,973,513,7,50290,0.616198051
5882,1296,22,34,43907,0.7057712890000001
5883,650,6,43,38210,0.8109861290000001
5884,653,30,26,36492,0.849120355
5885,964,55,29,33377,0.9280774190000001
5886,1266,49,32,40280,0.769023585
5887,2956,1,26,27880,1.111049857
5888,1565,7,28,36023,0.859872581
5889,1118,68,26,36246,0.854440214
5890,1650,21,28,42802,0.723542825
5891,1861,11,24,45033,0.687693691
5892,1208,103,44,47797,0.647922673
5893,3125,50,23,39520,0.78335248
5894,847,98,22,40553,0.76313491
5895,2497,20,34,41855,0.7391652129999999
5896,2463,123,13,38741,0.798567667
5897,2237,6,41,39434,0.784418015
5898,1413,28,16,22990,1.3454219230000002
5899,716,44,14,39177,0.789272022
5900,2796,39,27,39598,0.7808707509999999
5901,711,173,43,42495,0.727479468
5902,728,12,29,43102,0.717212658
5903,2916,79,37,45330,0.681956982
5904,1257,16,31,54220,0.5700322760000001
5905,658,297,6,32385,0.954346148
5906,2049,7,44,48021,0.643599467
5907,805,4,29,46350,0.6666755120000001
5908,2718,81,25,36650,0.8429754429999999
5909,641,3,31,43978,0.702479876
5910,1302,3,32,45123,0.684587683
5911,909,7,36,49840,0.619775682
5912,2352,27,40,50290,0.614168224
5913,2344,17,41,41836,0.73820872
5914,1361,287,7,56889,0.542857143
5915,1913,34,17,40131,0.769525803
5916,2367,7,27,44486,0.694098368
5917,1189,27,23,38262,0.807001986
5918,450,59,10,54698,0.564439833
5919,1108,277,25,61606,0.501015323
