,L,R,F,M,C,K
11973,874,6,21,28077,0.681514051,A
11974,685,157,19,26007,0.735700004,A
11975,2281,80,19,27795,0.688342508,A
11976,445,46,15,25525,0.749468364,A
11977,2808,67,19,27021,0.707969727,C
11978,646,422,5,24529,0.779868727,C
11979,764,25,14,25141,0.760871485,A
11980,963,1,36,27399,0.6981638020000001,B
11981,733,32,20,31830,0.6009644989999999,A
11982,1228,7,23,32554,0.58751367,A
11983,1804,43,16,28568,0.669473887,A
11984,871,183,8,21219,0.901263962,C
11985,1258,201,10,18062,1.0587426640000002,B
11986,709,497,16,28571,0.66931504,C
11987,457,9,16,32109,0.595562615,A
11988,1591,285,12,16581,1.1532416620000001,A
11989,2027,51,13,28140,0.6794371,A
11990,1822,11,17,30108,0.6350079710000001,B
11991,773,43,33,21341,0.8958230640000001,A
11992,506,6,19,25779,0.74156484,A
11993,1350,327,20,29893,0.6394507079999999,C
11994,654,21,12,23729,0.8054384929999999,A
11995,400,90,19,23546,0.811628727,A
11996,1939,89,13,23846,0.8013884929999999,C
11997,2409,130,20,29855,0.6400756989999999,C
11998,929,11,15,20431,0.935009544,B
11999,953,87,13,22522,0.848179114,A
12000,822,219,16,26029,0.733889892,C
12001,2943,40,15,22579,0.845883343,B
12002,1334,38,25,39352,0.485331368,A
12003,1401,125,22,33263,0.574158374,A
12004,2396,99,18,32064,0.595591317,A
12005,1021,2,31,21187,0.901355076,B
12006,1450,21,13,36702,0.520321508,B
12007,807,5,24,25500,0.748765098,A
12008,519,163,16,24599,0.776168137,A
12009,593,24,23,28064,0.68027366,A
12010,557,3,24,31487,0.606289262,A
12011,1742,38,18,20360,0.937531434,C
12012,3375,4,24,34676,0.5504115239999999,A
12013,2668,149,17,22938,0.8320446420000001,A
12014,1131,18,19,34075,0.560054292,A
12015,1085,194,20,27775,0.687025743,C
12016,1681,75,15,32833,0.581167118,C
12017,2277,14,14,29241,0.652554974,B
12018,3064,19,16,21865,0.872657215,C
12019,2273,76,23,35311,0.540347201,A
12020,2510,21,12,19174,0.9950719720000001,A
12021,2635,8,45,24015,0.794447637,A
12022,2944,31,31,38602,0.49422050700000003,A
12023,2962,2,18,28819,0.661881051,A
12024,1898,6,18,29018,0.6572503270000001,A
12025,1411,314,14,12714,1.5,C
12026,572,44,25,25989,0.7336838659999999,A
12027,862,129,29,20786,0.91732849,A
12028,833,91,16,23234,0.820553069,B
12029,3171,27,18,34326,0.5554005710000001,C
12030,2212,18,19,24584,0.775440937,B
12031,1268,17,20,22204,0.858558818,C
12032,1456,244,14,21163,0.900719652,B
12033,553,438,5,27193,0.700943257,C
12034,950,105,23,37007,0.514969871,A
12035,2384,21,31,27755,0.6866002520000001,A
12036,682,675,4,17780,1.071698538,C
12037,2979,153,16,26866,0.709250354,A
12038,3257,168,13,23251,0.819482603,C
12039,520,42,20,32551,0.585254216,A
12040,2360,4,31,24560,0.775610342,A
12041,3379,75,19,26245,0.72567651,C
12042,1591,45,17,27620,0.689530413,B
12043,2919,19,24,23092,0.8246700159999999,A
12044,726,56,11,14745,1.291498813,A
12045,632,130,19,31309,0.608210419,C
12046,2098,14,30,23696,0.803587103,A
12047,2613,5,12,24877,0.765341078,A
12048,1255,400,12,23796,0.8,C
12049,2151,12,51,24696,0.770751539,A
12050,734,152,14,24757,0.768843559,C
12051,759,370,15,26252,0.72504952,C
12052,1159,13,15,24413,0.7796452709999999,A
12053,712,139,16,23537,0.808619195,C
12054,2231,36,18,31529,0.6035684610000001,C
12055,2363,38,24,30144,0.631291468,B
12056,855,119,17,30632,0.621202664,A
12057,708,144,24,22773,0.835553945,A
12058,535,1,23,29943,0.635458371,A
12059,1393,24,20,26726,0.711904138,B
12060,1467,49,13,24156,0.787628333,A
12061,609,81,8,25840,0.73625,A
12062,524,84,25,31146,0.610799461,B
12063,555,104,11,29587,0.642981039,A
12064,594,1,19,26938,0.706176405,B
12065,1388,114,26,24500,0.776427755,A
12066,1509,58,13,26825,0.709115005,A
12067,1494,13,15,23999,0.7925821909999999,C
12068,507,113,29,34791,0.546697422,A
12069,3376,94,17,20747,0.916762423,A
12070,1475,56,20,25426,0.7479788409999999,A
12071,831,15,14,21890,0.868744175,A
12072,1460,56,14,23060,0.8246400690000001,B
12073,693,84,17,27265,0.6972803959999999,C
12074,3354,158,21,26492,0.71760607,A
12075,1673,34,25,27973,0.679533121,A
12076,2152,334,3,18520,1.0263293740000001,C
12077,2876,36,18,28401,0.6692454489999999,A
12078,1444,347,3,18405,1.032699267,A
12079,1258,77,17,30769,0.6176820829999999,B
12080,512,39,14,27536,0.690179038,A
12081,532,86,9,23787,0.7988888890000001,A
12082,1354,78,21,31567,0.601964076,B
12083,892,18,19,28835,0.658995665,A
12084,2163,13,20,27959,0.679606209,A
12085,1565,21,20,26535,0.7160636890000001,B
12086,1834,11,29,21720,0.874797422,B
12087,1892,77,24,28482,0.666956323,A
12088,1343,16,15,25116,0.7562091890000001,A
12089,616,16,19,23909,0.794251119,A
12090,815,16,23,23476,0.8088848190000001,B
12091,1704,27,20,29641,0.6406200870000001,A
12092,2490,4,25,24128,0.78695126,A
12093,1860,12,11,13705,1.3853163080000002,A
12094,723,3,33,24739,0.7673167870000001,B
12095,538,330,17,28807,0.658957892,C
12096,834,39,20,25659,0.7397451190000001,B
12097,972,182,15,24555,0.772953777,C
12098,2615,78,24,22463,0.844935227,C
12099,713,48,14,23741,0.79940567,A
12100,2563,3,31,25193,0.7531770729999999,A
12101,1692,1,33,28592,0.663570229,A
12102,2067,247,11,18017,1.0530476770000001,B
12103,2226,9,23,24099,0.787279555,B
12104,765,9,23,28955,0.655240891,B
12105,2415,9,17,27391,0.692614362,A
12106,3076,95,15,22221,0.8537563570000001,A
12107,3195,16,19,23542,0.8058066429999999,C
12108,2998,11,25,23628,0.802750127,A
12109,3058,15,17,29051,0.652885959,A
12110,436,82,13,32215,0.588731336,A
12111,1104,71,13,22437,0.8452948259999999,C
12112,814,48,25,29425,0.644543755,A
12113,2659,137,17,24781,0.7652855009999999,A
12114,2446,96,19,18494,1.025394723,A
12115,2963,15,26,26104,0.726460313,A
12116,1491,39,26,28821,0.657968495,A
12117,977,4,26,35117,0.539970669,B
12118,852,6,9,26135,0.72550794,B
12119,953,23,30,24575,0.77153001,B
12120,1668,10,18,28865,0.656859518,A
12121,452,444,2,24464,0.775,C
12122,1095,580,2,24464,0.775,C
12123,381,26,10,36338,0.521724366,A
12124,450,3,5,33686,0.562726949,A
12125,2444,76,15,20154,0.9405408359999999,A
12126,1219,37,30,23818,0.795849358,C
12127,1491,28,20,28982,0.654043544,B
12128,2678,42,18,24039,0.7884500190000001,C
12129,3004,1,28,25346,0.747769273,A
12130,864,48,13,24294,0.779967893,C
12131,2465,144,11,21095,0.8982351270000001,C
12132,2425,17,18,34867,0.543373677,A
12133,1573,116,20,22912,0.826891149,A
12134,465,25,19,27156,0.697622625,A
12135,2306,136,15,24362,0.7775954359999999,A
12136,1404,8,6,26307,0.720087809,A
12137,1490,32,22,30219,0.626861908,A
12138,1265,43,23,24069,0.7869828409999999,B
12139,890,17,32,30499,0.62095413,A
12140,2652,39,30,27321,0.693138611,B
12141,2400,44,12,31238,0.6061646070000001,A
12142,1010,2,34,29625,0.639156456,B
12143,1000,108,17,26093,0.725549764,A
12144,1057,12,23,23158,0.8173961479999999,A
12145,734,1,14,18312,1.033571429,B
12146,3224,60,15,25001,0.75701092,A
12147,1611,36,19,28856,0.65585944,A
12148,834,370,18,21802,0.8679249609999999,C
12149,626,18,19,27140,0.697142225,A
12150,812,329,7,15215,1.2435228390000002,C
12151,870,48,11,15511,1.2197749979999999,C
12152,2619,17,21,29555,0.640126882,B
12153,1246,191,15,27465,0.6888348809999999,A
12154,1171,68,30,30860,0.613045366,B
12155,783,188,16,21698,0.871845792,A
12156,1437,52,24,31791,0.594951087,A
12157,1375,113,22,38468,0.491669959,C
12158,1364,32,9,27256,0.6938773109999999,A
12159,1686,88,18,25713,0.7355096640000001,C
12160,484,106,14,24785,0.7630349000000001,A
12161,1878,34,19,27329,0.691985803,A
12162,3125,2,11,28429,0.665184495,A
12163,2054,5,26,25477,0.7421289790000001,A
12164,1347,5,22,28994,0.652008002,A
12165,2574,69,17,23116,0.817760426,A
12166,2265,42,22,38142,0.495555818,A
12167,1705,33,13,20228,0.934386988,C
12168,612,2,20,24531,0.7703522070000001,A
12169,1023,36,21,30480,0.619987861,A
12170,447,25,19,15072,1.253707537,A
12171,1047,164,18,25302,0.746808948,C
12172,537,190,9,13632,1.3860922830000002,A
12173,2928,18,9,15796,1.195947075,A
12174,633,23,22,28159,0.670774885,C
12175,3139,2,12,18578,1.016614275,A
12176,437,71,16,26358,0.716513772,A
12177,2899,31,9,26618,0.709505598,A
12178,696,44,18,25643,0.736298405,C
12179,509,6,30,22185,0.8510371870000001,A
12180,1593,164,25,21787,0.8664749620000001,C
12181,1112,16,17,21943,0.860251105,A
12182,1811,102,14,25808,0.731333695,B
12183,703,87,15,25964,0.7268745190000001,B
12184,583,125,4,25759,0.73257774,A
12185,583,3,17,28932,0.652218651,B
12186,1334,463,3,23807,0.792575713,C
12187,2385,5,16,26457,0.7131829009999999,A
12188,3296,43,14,26625,0.708645258,A
12189,1882,67,20,24400,0.7732319670000001,A
12190,1676,8,57,31793,0.593392256,A
12191,2215,5,17,21348,0.883721192,A
12192,942,35,23,23371,0.807212785,A
12193,491,3,30,23962,0.7872585759999999,A
12194,1518,30,24,26078,0.7233583859999999,B
12195,2157,68,20,25627,0.736080306,A
12196,2390,7,27,28728,0.656591131,A
12197,1603,259,15,27117,0.69556035,C
12198,1348,32,15,31793,0.59318718,A
12199,1047,66,24,29884,0.630995516,A
12200,3155,13,28,24516,0.769003916,B
12201,411,14,18,25697,0.733654512,A
12202,2219,4,27,33248,0.567014858,B
12203,3030,46,9,22981,0.8203019890000001,A
12204,2116,205,17,30069,0.626935382,C
12205,2262,5,18,18855,0.999748077,B
12206,1259,130,10,20355,0.9260515840000001,A
12207,2039,45,13,29833,0.631840579,A
12208,2943,3,19,32411,0.5815504,C
12209,551,15,19,25606,0.736011091,A
12210,3110,61,19,18938,0.995157356,A
12211,2685,47,26,24032,0.78418234,C
12212,536,13,26,27567,0.6836108390000001,A
12213,2808,1,26,26366,0.714747402,A
12214,2179,118,18,28599,0.658924788,C
12215,3093,521,12,19744,0.954416532,C
12216,3042,117,11,20004,0.9418306340000001,A
12217,1942,101,28,26097,0.72192321,B
12218,1460,32,14,25412,0.741371399,A
12219,434,9,12,27752,0.678829274,A
12220,2224,42,19,28398,0.663384393,B
12221,943,210,2,24464,0.77,A
12222,925,24,30,25337,0.743367407,C
12223,3392,69,16,33386,0.564146049,C
12224,1611,49,19,26245,0.717627358,B
12225,722,32,31,22936,0.8209905820000001,A
12226,2074,88,20,37620,0.5005,A
12227,811,80,19,29086,0.647163584,B
12228,671,67,14,26182,0.7189416390000001,A
12229,3098,4,17,24940,0.754726544,A
12230,2393,290,6,18681,1.007531717,C
12231,884,43,22,25377,0.74165189,B
12232,975,154,15,28198,0.667443081,A
12233,1067,28,15,26701,0.704797948,A
12234,1448,103,14,27101,0.694180658,A
12235,719,4,29,20755,0.9063069140000001,B
12236,1058,63,14,19025,0.98857293,A
12237,1910,191,16,19083,0.985536341,B
12238,1341,32,13,27649,0.68017903,B
12239,830,60,13,22957,0.8191044129999999,A
12240,2402,3,26,20844,0.902126271,B
12241,1263,137,13,26781,0.70212128,B
12242,685,22,14,25908,0.725777752,A
12243,1408,13,12,21764,0.863905532,A
12244,3169,77,28,25420,0.739597561,A
12245,738,76,17,28292,0.664367666,B
12246,2871,32,27,25935,0.7246443029999999,B
12247,2611,14,22,29227,0.643016389,A
12248,824,74,9,28722,0.654270942,C
12249,1747,44,25,30337,0.6193819429999999,A
12250,3300,76,23,24864,0.755657175,C
12251,675,73,20,33680,0.557840855,A
12252,985,3,16,28307,0.663703678,A
12253,525,69,17,23026,0.8158968120000001,A
12254,2487,32,20,24538,0.765617002,B
12255,516,123,8,12926,1.453384651,A
12256,2921,7,22,26409,0.7113465109999999,A
12257,1743,2,15,25623,0.7331097059999999,A
12258,1012,216,13,32524,0.577523982,B
12259,1467,82,22,38803,0.484044275,A
12260,2196,140,12,25709,0.730543389,A
12261,1709,9,15,28589,0.656859282,A
12262,828,47,19,23531,0.797943139,A
12263,3062,12,17,23670,0.793198141,A
12264,1111,174,7,15698,1.19592687,A
12265,684,2,19,28520,0.658238429,A
12266,1477,5,20,26546,0.70718564,A
12267,2486,130,23,27118,0.6922501659999999,C
12268,1697,151,18,26168,0.71730243,A
12269,630,138,18,25719,0.729798981,A
12270,2529,66,24,25260,0.743055028,A
12271,2896,9,22,31751,0.591148625,A
12272,3437,11,17,14532,1.2912819979999999,A
12273,1812,6,15,19622,0.956267455,C
12274,3379,8,18,26290,0.7137131990000001,A
12275,823,38,11,25542,0.734545455,C
12276,2384,569,7,25055,0.748776691,C
12277,2700,173,14,15385,1.219394865,A
12278,780,70,30,28903,0.6490609970000001,A
12279,1891,15,21,22722,0.825614823,A
12280,2791,63,20,22792,0.823066427,B
12281,611,45,5,26717,0.70214283,A
12282,2094,16,18,26268,0.714093193,C
12283,1621,13,25,23388,0.801801779,B
12284,1248,369,20,22360,0.838658318,C
12285,760,114,19,26092,0.718677372,A
12286,2924,648,4,24214,0.77433303,C
12287,461,23,16,29739,0.630470426,A
12288,1023,240,12,26851,0.6982738070000001,C
12289,2582,15,26,24841,0.754728071,A
12290,1977,107,11,13540,1.3845613,A
12291,1663,30,26,27612,0.678935608,A
12292,2875,36,27,27804,0.6741803340000001,B
12293,820,42,16,20278,0.9243495409999999,A
12294,3249,34,20,21910,0.8554349609999999,A
12295,998,30,24,24167,0.775533165,A
12296,1094,44,15,27379,0.68441908,B
12297,1799,37,22,33948,0.55189967,A
12298,724,165,6,21210,0.8833333329999999,A
12299,1614,105,21,27195,0.688925905,A
12300,934,33,18,23937,0.7826745209999999,B
12301,1567,416,7,22610,0.828571429,C
12302,1570,5,13,25869,0.724070896,C
12303,2635,19,21,31662,0.59151854,B
12304,1015,95,33,25659,0.7298659340000001,B
12305,1544,32,28,22744,0.823365283,A
12306,2200,41,13,17299,1.082435401,A
12307,2345,20,23,31595,0.592595347,A
12308,607,211,6,27379,0.68382629,A
12309,368,25,22,23393,0.800338563,A
12310,2328,11,16,25350,0.7384007890000001,A
12311,3268,109,24,29330,0.638201841,A
12312,2396,8,18,29529,0.633807782,A
12313,2121,209,19,25832,0.724462295,A
12314,1209,4,27,34357,0.54469424,A
12315,2511,62,43,26353,0.71011991,B
12316,2610,112,23,26358,0.709971925,A
12317,1252,68,25,25723,0.727464137,A
12318,1505,214,14,22947,0.815311805,C
12319,2154,25,17,22777,0.821131844,B
12320,2447,125,20,26429,0.707659389,A
12321,409,51,8,17812,1.05,A
12322,658,164,14,20486,0.912929806,B
12323,2568,26,26,28633,0.653165578,A
12324,2089,44,26,27281,0.685454346,A
12325,732,19,16,22821,0.819404496,A
12326,1611,8,11,28012,0.6675217760000001,A
12327,799,49,9,26895,0.695218442,A
12328,3125,74,24,28465,0.656864922,A
12329,2379,30,13,25404,0.735888049,C
12330,691,15,18,29432,0.6351202770000001,B
12331,2512,354,18,23610,0.7916899620000001,C
12332,1078,9,5,25430,0.735026347,B
12333,3297,12,40,26009,0.7186446999999999,A
12334,596,35,14,29609,0.631262116,A
12335,2373,10,36,30454,0.613655349,A
12336,876,128,19,26829,0.696559693,C
12337,643,81,13,26734,0.69902783,C
12338,2087,16,22,37454,0.49892641600000004,B
12339,2426,46,27,33161,0.563514369,B
12340,515,13,16,25979,0.719271335,B
12341,2582,149,20,25978,0.7192539840000001,C
12342,423,318,17,23977,0.7791383409999999,A
12343,2082,93,5,21457,0.87062031,A
12344,1760,60,26,23962,0.779594775,C
12345,1012,34,22,25581,0.7302333759999999,A
12346,697,269,13,26077,0.7163419870000001,B
12347,2966,36,22,23026,0.8112299140000001,B
12348,1734,4,15,21500,0.868697209,A
12349,3303,35,18,20910,0.893196078,C
12350,2096,30,17,28276,0.660449851,B
12351,1378,129,22,24964,0.747941436,B
12352,3405,318,6,21966,0.85,C
12353,3315,101,15,25695,0.72664137,C
12354,567,1,48,23794,0.7846932,A
12355,719,44,4,23791,0.7847593629999999,A
12356,3333,8,23,27175,0.6870344070000001,B
12357,718,14,12,25036,0.745712174,A
12358,1906,104,18,16436,1.135864566,A
12359,716,37,14,29739,0.6276751070000001,C
12360,3103,8,25,23043,0.810051643,A
12361,1655,70,20,25368,0.7357812990000001,C
12362,2887,249,14,24103,0.7743301659999999,B
12363,637,31,17,36411,0.512580539,A
12364,1840,60,18,25534,0.7309273909999999,C
12365,417,3,13,30597,0.609964049,A
12366,1172,17,39,28714,0.649933134,A
12367,1125,23,14,27323,0.682997475,A
12368,566,330,5,25724,0.725431504,C
12369,1289,317,14,28950,0.644547496,C
12370,1195,56,36,28758,0.648769038,A
12371,3194,217,16,27039,0.689990384,B
12372,1808,46,10,26772,0.696804871,A
12373,1104,76,19,20677,0.902124099,A
12374,725,3,25,27262,0.684211723,A
12375,886,61,12,28442,0.655815344,C
12376,1379,27,33,26201,0.7118125259999999,A
12377,1484,17,18,27895,0.668384298,B
12378,1933,8,16,24447,0.7626264979999999,A
12379,556,15,10,25936,0.7187731340000001,B
12380,647,20,22,24282,0.7676229309999999,A
12381,834,24,20,24628,0.756753289,A
12382,1398,33,12,14062,1.325351301,A
12383,1004,105,14,26366,0.706843662,A
12384,432,13,14,25901,0.719496545,A
12385,429,23,28,26211,0.7109847009999999,A
12386,2698,45,25,25319,0.736029464,A
12387,574,25,18,27090,0.68781543,A
12388,2525,29,12,23709,0.785804125,A
12389,1085,1,18,24346,0.765215641,A
12390,368,20,12,23117,0.805869706,A
12391,1213,14,27,31458,0.592049717,B
12392,942,131,23,24299,0.7664722829999999,C
12393,633,40,24,21654,0.860039254,A
12394,747,75,13,28394,0.655879763,B
12395,586,71,27,23059,0.8075619059999999,A
12396,700,691,3,26431,0.704534448,C
12397,1047,82,15,24174,0.7702966,B
12398,2549,112,21,21766,0.855431407,A
12399,591,1,16,27229,0.683768041,A
12400,1853,29,13,28337,0.656764654,A
12401,1935,57,13,24683,0.753859336,B
12402,1294,320,7,20947,0.8882374559999999,C
12403,1130,58,9,20667,0.9001751579999999,A
12404,2040,12,33,26120,0.712176493,A
12405,2267,104,7,13072,1.422991891,A
12406,2315,152,18,24434,0.761280183,C
12407,2572,342,20,31170,0.596693936,C
12408,512,4,15,22842,0.814225112,A
12409,606,53,22,32075,0.579842557,A
12410,1395,11,34,22206,0.8375213909999999,B
12411,3291,116,20,27387,0.678994048,B
12412,1798,9,27,29359,0.6333730710000001,A
12413,2434,17,16,34798,0.5343712279999999,B
12414,3094,11,24,26357,0.705472929,A
12415,948,286,2,24464,0.76,A
12416,752,203,2,24464,0.76,A
12417,465,70,2,24464,0.76,A
12418,2021,28,21,21503,0.864644003,B
12419,1538,134,21,28751,0.6466554210000001,C
12420,2358,70,12,27121,0.68551049,C
12421,782,107,16,23836,0.7799618220000001,A
12422,1403,79,11,26695,0.696427421,B
12423,2290,185,28,25723,0.722638495,B
12424,1810,85,17,24585,0.7560016270000001,C
12425,1664,9,25,23936,0.776488135,B
12426,870,65,15,24066,0.7720722179999999,A
12427,1043,13,18,22778,0.815688823,A
12428,714,11,28,20273,0.916461303,B
12429,1657,3,19,24620,0.7545442729999999,A
12430,1033,20,23,22860,0.812619423,C
12431,1761,22,21,26761,0.694157543,B
12432,3012,23,21,29549,0.6286497,A
12433,1104,68,16,24723,0.75122113,B
12434,1261,36,16,24104,0.770481663,A
12435,1125,81,18,23028,0.806438683,A
12436,1463,20,21,26174,0.709499885,A
12437,588,1,14,27046,0.6865795309999999,A
12438,2505,101,23,21355,0.8695012879999999,B
12439,849,45,30,24616,0.7542846120000001,C
12440,672,187,16,29135,0.63728265,C
12441,770,18,16,26108,0.7111149840000001,A
12442,665,56,17,27996,0.663094728,A
12443,499,40,21,23684,0.7837223440000001,A
12444,1703,164,16,24730,0.750431055,C
12445,490,343,6,25103,0.73924033,C
12446,1970,1,20,24759,0.749451109,A
12447,1486,35,30,31686,0.585565549,A
12448,445,16,11,25542,0.726363636,A
12449,1860,34,23,26124,0.7101645999999999,B
12450,2374,62,19,25638,0.7235954440000001,A
12451,2867,4,12,22150,0.837535892,A
12452,1124,36,21,29242,0.6343902610000001,B
12453,3351,5,18,27730,0.668951677,B
12454,1951,20,35,41825,0.443428571,A
12455,2325,32,21,28110,0.659730345,A
12456,741,39,18,27263,0.680177897,A
12457,1172,7,21,25401,0.729940947,C
12458,775,99,25,24327,0.7621174,C
12459,885,20,22,26775,0.6924022409999999,A
12460,928,48,11,24213,0.76563788,A
12461,487,20,23,22785,0.8135843759999999,A
12462,395,125,10,13222,1.402013311,A
12463,2253,61,14,21734,0.852911567,C
12464,1240,74,14,22256,0.832884615,A
12465,839,77,13,20870,0.888172017,B
12466,2457,1,17,26456,0.70059684,B
12467,1028,129,15,27987,0.66224247,A
12468,1661,153,14,27590,0.6716484229999999,C
12469,1580,165,42,27258,0.679761905,C
12470,1271,3,28,32441,0.5711503960000001,A
12471,777,53,18,22339,0.829391647,C
12472,1866,85,14,21713,0.8532703909999999,B
12473,1085,48,11,24697,0.7501449570000001,A
12474,1665,114,23,27652,0.669977217,C
12475,365,39,17,26975,0.686772196,A
12476,1483,66,18,25198,0.7351623140000001,A
12477,2694,14,14,27061,0.684520158,C
12478,2413,39,12,22403,0.826830782,A
12479,631,135,17,26026,0.711596865,A
12480,650,27,13,24791,0.747000524,C
12481,1407,11,31,26501,0.69865024,A
12482,934,59,18,35121,0.527074969,C
12483,2491,29,17,27838,0.664963359,B
12484,2027,95,20,24103,0.7679927809999999,B
12485,1867,144,22,22270,0.831183655,B
12486,1564,89,16,25315,0.7311981040000001,C
12487,1712,44,11,33791,0.547778698,A
12488,1173,304,16,26293,0.703977865,C
12489,1075,18,24,25780,0.7179057409999999,A
12490,1065,18,26,24216,0.764231087,A
12491,3425,26,18,27651,0.669275976,A
12492,500,76,17,23397,0.7909437109999999,A
12493,723,46,19,25437,0.72746511,A
12494,822,95,24,24421,0.75772368,A
12495,1991,65,15,25206,0.734036737,A
12496,1434,22,33,23933,0.773032215,B
12497,487,39,8,25648,0.72125,A
12498,551,48,11,22893,0.8078880009999999,A
12499,1524,75,17,26383,0.701016564,A
12500,1553,109,23,32598,0.567353212,A
12501,2518,108,14,23891,0.7739902059999999,B
12502,440,52,15,24271,0.761845,A
12503,676,152,13,31147,0.593647542,C
12504,829,49,13,28644,0.645486315,C
12505,850,64,20,29632,0.6239325729999999,C
12506,922,30,16,29455,0.627677474,A
12507,2848,78,19,29320,0.630560027,A
12508,1383,18,24,31880,0.57990872,A
12509,1971,32,27,27984,0.660640009,A
12510,733,95,15,29436,0.628002446,A
12511,2266,208,19,30192,0.612270469,B
12512,464,130,28,23451,0.7882567909999999,A
12513,2209,72,19,22932,0.806066196,C
12514,2999,7,10,30349,0.609062572,A
12515,1222,5,25,30878,0.598583134,A
12516,640,354,27,37102,0.498156434,C
12517,799,15,21,28878,0.63997299,A
12518,719,300,15,24367,0.7583904459999999,C
12519,931,36,23,25283,0.730910493,A
12520,1421,211,10,13082,1.4125309590000001,C
12521,2933,23,24,27068,0.6824530809999999,A
12522,1644,111,22,24156,0.76471891,A
12523,741,688,4,30250,0.610654545,C
12524,3074,9,29,22716,0.813161648,A
12525,2210,6,23,26501,0.69702049,A
12526,607,44,21,25769,0.716781792,A
12527,1488,26,16,17562,1.051627947,A
12528,1025,67,19,28625,0.645172751,C
12529,559,64,15,23002,0.802877576,B
12530,724,5,14,19187,0.9625084690000001,A
12531,2219,138,18,22146,0.8337632079999999,A
12532,2573,112,21,23237,0.7945965490000001,C
12533,2172,23,19,34128,0.540993026,A
12534,2678,13,16,28755,0.642070944,B
12535,1832,13,30,23944,0.7710090209999999,B
12536,1039,69,19,25013,0.738056611,B
12537,2453,10,18,26682,0.691793344,A
12538,1473,4,25,30533,0.604508892,A
12539,2402,64,9,26665,0.692103131,A
12540,1095,55,35,24867,0.742056541,C
12541,490,49,13,24756,0.745371627,A
12542,1113,17,25,28555,0.646155489,A
12543,932,9,22,21846,0.844486405,A
12544,447,101,11,16269,1.1338754690000001,A
12545,2413,77,16,31408,0.587282858,A
12546,2698,70,18,29114,0.633483204,A
12547,2342,33,20,29110,0.6335400210000001,A
12548,395,192,4,25873,0.71279983,A
12549,2644,13,20,22810,0.808515125,B
12550,3264,123,26,36187,0.50963661,A
12551,823,175,8,27829,0.66267886,A
12552,518,35,15,28432,0.648607203,A
12553,416,16,25,22230,0.8294732340000001,A
12554,2190,49,6,12535,1.4709644990000001,A
12555,522,177,20,20262,0.9099615040000001,A
12556,1130,321,19,24435,0.754507878,C
12557,1212,67,28,28984,0.6360561,A
12558,1228,3,20,26282,0.7014207440000001,A
12559,706,58,12,23082,0.7986084390000001,A
12560,1473,3,9,30303,0.6083028079999999,B
12561,1503,120,24,21594,0.853604705,C
12562,621,25,19,20501,0.8991005320000001,A
12563,2486,11,13,22201,0.8302225120000001,A
12564,1643,122,21,26176,0.70411331,A
12565,726,22,27,23960,0.7691656929999999,A
12566,1932,68,16,23583,0.781450621,C
12567,424,6,14,27442,0.671457255,A
12568,720,30,25,23870,0.771919145,A
12569,1025,11,21,28113,0.655407463,A
12570,2019,164,13,14779,1.246695988,C
12571,2906,4,18,26118,0.705369094,A
12572,2000,24,15,24067,0.7654236090000001,A
12573,2701,298,22,22431,0.821082876,C
12574,1270,96,17,29607,0.6220664029999999,B
12575,2401,44,17,28802,0.639446913,B
12576,2755,33,19,20812,0.884893811,B
12577,548,21,22,24951,0.738055389,A
12578,2052,77,13,29014,0.634678086,A
12579,2027,6,15,21706,0.848358979,C
12580,1140,45,29,27179,0.677502484,A
12581,1022,12,26,23646,0.7786923790000001,A
12582,842,6,22,26200,0.7027694659999999,A
12583,2161,5,16,25237,0.729458335,A
12584,3274,213,12,21805,0.844257739,C
12585,3008,85,8,31200,0.59,A
12586,1470,110,18,28499,0.645913892,C
12587,1606,93,23,23992,0.767248666,B
12588,2715,108,19,24988,0.7366015690000001,A
12589,514,119,17,28127,0.654337825,A
12590,408,14,19,28462,0.646625325,A
12591,550,3,33,25737,0.715025061,A
12592,1562,55,14,23288,0.790185503,C
12593,2581,263,11,23506,0.782843955,B
12594,2316,240,3,22810,0.806665498,C
12595,3219,30,37,30741,0.598547217,B
12596,430,50,10,22536,0.8164283809999999,A
12597,2211,26,17,18431,0.998238837,A
12598,629,24,12,26119,0.704359662,B
12599,1285,40,19,23938,0.768408388,A
12600,1302,7,11,27580,0.6669202320000001,A
12601,858,231,12,33582,0.5476630339999999,C
12602,719,112,14,26568,0.69220679,B
12603,1702,8,12,27864,0.66,A
12604,3395,3,21,32944,0.558121965,B
12605,2557,2,16,24701,0.744331808,A
12606,1804,7,23,24666,0.7453709559999999,B
12607,649,103,23,22406,0.820507007,A
12608,2535,124,19,29383,0.625668244,A
12609,886,32,17,27504,0.66836242,A
12610,903,99,7,24569,0.748197322,C
12611,451,22,23,24608,0.74700829,A
12612,1104,3,18,20303,0.9053583209999999,B
12613,2803,48,17,29533,0.622347205,A
12614,2115,120,10,16458,1.1167663140000001,A
12615,1737,123,16,21384,0.859488403,B
12616,2837,5,19,29792,0.616913265,A
12617,791,40,3,22783,0.806657596,C
12618,966,109,14,26285,0.699138672,C
12619,580,99,9,20736,0.886171875,A
12620,3169,158,17,20291,0.905582771,C
12621,2716,30,16,21572,0.851785648,A
12622,2152,216,16,28282,0.64967718,C
12623,655,99,21,30733,0.597767872,C
12624,1535,45,17,27375,0.671090046,A
12625,2578,23,19,24148,0.76074706,B
